player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Tomas Satoransky,satorto01,2021,RS,CHI,1995,953,1.028552523328825,.1250777990435473,1.153630322372373,1.708713248959726,1.386015289492503,3.094728538452229,1.245557648448186,.4109801950880977,1.656537843536283,2.136046390054801,2.136046390054801,0,.6263619613742728,-.1133463977716564,.5130155636026164,-.306414691546514
Dennis Schroder,schrode01,2021,RS,LAL,3189,1529,-1.168183348162948,.9570868008378353,-.211096547325113,1.744886687533048,-1.244880291067299,.5000063964657493,-.6087368899411438,.4831526508556843,-.1255842390854596,2.062083051885138,2.062083051885138,0,-1.133974563314668,1.814993430933567,.6810188676188986,.7291729206892577
Mike Scott,scottmi01,2021,RS,PHI,1233,578,-2.771998093268287,-.7481751849447769,-3.520173278213064,-3.229242095018338,1.041715184711264,-2.187526910307073,-3.035271245489059,-.4763083895164681,-3.511579635005528,-.2240570313368762,-.2240570313368762,0,-2.09343156091532,-.3379701451855223,-2.431401706100842,-.2379929597194443
Collin Sexton,sextoco01,2021,RS,CLE,3261,1575,-.0904698428091263,-2.425496077495419,-2.515965920304545,-1.171622580450998,-1.939166699197645,-3.110789279648642,-.1647446236732157,-2.461447216698844,-2.62619184037206,.09926644528492,.09926644528492,0,-.222538037508885,-1.774924678441212,-1.997462715950098,-.2247207398041634
Landry Shamet,shamela01,2021,RS,BRK,1748,828,-.4016858557892387,-.7717665158217795,-1.173452371611018,-1.825235236641095,-3.684816709593453,-5.510051946234547,-.7959095101344715,-1.406835793655706,-2.202745303790177,.2306345278324932,.2306345278324932,0,.2715144680335326,-2.3582187353343,-2.086704267300768,-.2405266035170308
Iman Shumpert,shumpim01,2021,RS,BRK,23,11,-13.3402534674892,13.94137356543421,.6011200979450102,-14.01666381603156,8.202880722672251,-5.813783093359307,-14.35601839667641,13.66332642695223,-.6926919697241747,.011806460742968,.011806460742968,0,-9.719617787297503,7.698831284793469,-2.020786502504034,2.277144821256674
Pascal Siakam,siakapa01,2021,RS,TOR,3166,1524,.662229506562671,-1.092674477720711,-.4304449711580401,3.996122809481378,.5771983630336393,4.573321172515017,1.405078481725312,-.8004298999268914,.604648581798421,2.594827039996661,2.594827039996661,0,1.022545550075583,-.0073060505581269,1.015239499517457,-.524915053075968
Chris Silva,silvach01,2021,RS,SAC,11,4,-14.16157598868724,12.67444551278941,-1.487130475897839,-19.32618814963982,34.66588978696129,15.33970163732147,-16.16274515681974,18.16902099396565,2.006275837145903,.0104130255655625,.0104130255655625,0,-10.74620064742854,10.87891032868663,.1327096812580919,7.347088096372161
Chris Silva,silvach01,2021,RS,MIA,179,83,-1.32620634306801,.5038668087861401,-.8223395342818701,-1.456991129866724,2.063828918578476,.6068377887117515,-1.407078282492419,.8427373263460797,-.5643409561463392,.0938115132051553,.0938115132051553,0,-.7931880345774683,-.615840353333785,-1.409028387911253,1.37027557357013
Ben Simmons,simmobe01,2021,RS,PHI,3136,1474,-.7731997981849887,1.972449881033735,1.199250082848746,.7352958532525568,.6715728993519925,1.406868752604549,-.5133468119202986,1.769835070194131,1.256488258273833,3.042928734043068,3.042928734043068,0,-.3325866010471388,2.33319980915178,2.000613208104641,1.002161408266113
Anfernee Simons,simonan01,2021,RS,POR,1498,727,.6275257242159311,-5.384346547362616,-4.756820823146685,-3.345274163921548,-4.488126699493099,-7.833400863414647,-.2278374388085506,-5.468569862094322,-5.696407300902872,-1.081191485783587,-1.081191485783587,0,.8059209923687649,-5.617663234872692,-4.811742242503927,-1.078600903348501
Deividas Sirvydis,sirvyde01,2021,RS,DET,60,26,-1.171097202863429,-2.617756381975363,-3.788853584838792,-5.715360804148905,13.14679208400976,7.431431279860855,-2.159887512493496,.5047068348552775,-1.655180677638219,.0145940582860957,.0145940582860957,0,-2.00005066097044,-1.799724615872806,-3.799775276843247,.4939650208597649
Alen Smailagic,smailal01,2021,RS,GSW,56,26,-3.86139443104706,-4.471396333386548,-8.332790764433609,-25.35137797719949,-6.199661179231707,-31.5510391564312,-8.467478596782922,-5.05181642866134,-13.51929502544426,-.1421991276870185,-.1421991276870185,0,-6.003063898243589,-3.464981554358897,-9.468045452602485,-.4647978751482792
